Category,Item,Carb Counter Size,Carb Counter gms
Fruit,Red Apple,135,15
Fruit,Banana,165,32
Fruit,Grapes green cup,169,26
Fruit,Mango flesh only,148,17
Fruit,Kiwifruit,78,7
Fruit,Orange,205,13
Fruit,Rockmelon peeled cup,165,9
Fruit,Strawberry 1 cup,152,6
Fruit,Watermelon peeled cup,161,10
Vegetables,Pumpkin peeled boiled 1/2 cup,130,10
Vegetables,Potato medium,122,15
Vegetables,Sweet potato cooked 1/2 cup,106,16
Vegetables,Corn cooked 1/4 cup,43,9
Vegetables,Peas,,
Vegetables,Cucumber,,
Vegetables,Tomatoes,,
Vegetables,Capsicum,,
Vegetables,Carrot,,
Pasta & Rice,Pasta penne cooked 1 cup,113,29
Pasta & Rice,Spaghetti cooked 1 cup,148,38
Pasta & Rice,Rice boiled 1 cup,157,47
Takeaway,Sushi 1 long,120,27
Takeaway,Sushi baby 3 pieces,66,15
Takeaway,KFC nuggets 6,119,16
Takeaway,KFC large chips,227,79
Takeaway,KFC Small chips,100,35
Takeaway,Takeaway fish battered,134,15
Takeaway,Takeaway nuggets 6,108,19
Takeaway,Takeaway chips 10 chips,57,16
Takeaway,Takeaway fries 10 fries,40,14
Takeaway,Oven Fries 20 fries,100,18
Takeaway,Oven chips 5 thick,50,22
Takeaway,McDonald's chips large,128,51
Takeaway,McDonald's nuggets 6,99,14
Takeaway,McDonald's chips med,104,41
Takeaway,McDonald's chips Small,72,29
Takeaway,Fish fingers 3,75,13
Snacks,Anzac,25,14
Snacks,Jatz Ritz 6 ,21,14
Snacks,Rice cracker 10,17,14
Snacks,Corn chips 1 cup,25,13
Snacks,Grainwaves 10,25,16
Snacks,Popcorn air popped 2 cups,17,9
Snacks,Potato chips 1 cup (Crisps),22,10
Snacks,Chocolate cake,49,24
Snacks,Lamington finger ,22,12
Snacks,"Muffin, chocolate ",80,39
Snacks,Cup Cake,45,25
Breads,Cheese & Bacon Roll,100,32
Breads,Turkish Bread 1/12 pide,36,16
Breads,Sourdough,25,13
Breads,Hotdog,62,28
